Fecha,ix,Departamento,Distrito,casosAccumAnho,nuevosCasos,Semana,Anho,Fecha_x,Fecha_y,temp_mean,hum_mean,temp_max,temp_min,hum_min,hum_max
2018-05-20,125,LIMA,COMAS,7,0,20,2018,2018-05-20,2018-05-20,19.25924464559548,74.50154711793505,22.86869035880261,16.56027762960298,56.89139418000624,87.50006564400509
2018-05-27,126,LIMA,COMAS,7,0,21,2018,2018-05-27,2018-05-27,18.76750636625958,75.78397597850699,21.72970054840244,16.087491529603028,61.87512348801008,90.14527469360962
2018-06-03,127,LIMA,COMAS,7,0,22,2018,2018-06-03,2018-06-03,18.265334255423827,70.76361885266917,21.55821008240269,15.661479388002247,58.60487471521659,82.33987268560584
2018-06-10,128,LIMA,COMAS,7,0,23,2018,2018-06-10,2018-06-10,17.79431630302023,75.94477353593628,20.338538433802626,16.024437501803277,58.99158129120529,88.6267026608036
2018-06-17,129,LIMA,COMAS,7,0,24,2018,2018-06-17,2018-06-17,17.250067534866368,73.92839650359231,19.604419533802627,14.953628433802637,62.27122934881359,88.44682102160712
2018-06-24,130,LIMA,COMAS,7,0,25,2018,2018-06-24,2018-06-24,16.67062185712693,70.59191134715388,19.759083474201248,14.13915452480228,54.46082509360959,83.54126730961714
2018-07-01,131,LIMA,COMAS,7,0,26,2018,2018-07-01,2018-07-01,16.683806411198454,73.1835787625378,20.28365473940209,14.247179139402135,55.38735622160707,86.60055134080984
2018-07-08,132,LIMA,COMAS,7,0,27,2018,2018-07-08,2018-07-08,16.969535966380327,72.55701071521216,20.28712743180165,14.243100067201908,56.05741099920909,90.37789486561223
2018-07-15,133,LIMA,COMAS,7,0,28,2018,2018-07-15,2018-07-15,16.95066751985925,69.22759117044954,20.001957559601408,14.694043929001907,54.45092288801008,81.75009066080358
2018-07-22,134,LIMA,COMAS,7,0,29,2018,2018-07-22,2018-07-22,16.47993951790575,72.68483479163464,19.279807004001896,13.51095104980226,58.82912850480855,88.20663744400508
2018-07-29,135,LIMA,COMAS,7,0,30,2018,2018-07-29,2018-07-29,16.537516633137706,72.23126858569616,19.4007677256011,14.06491569140303,58.12268374881359,88.92566714960459
2018-08-05,136,LIMA,COMAS,7,0,31,2018,2018-08-05,2018-08-05,16.35178265221253,68.17064479698156,19.07165030880259,13.844465731801677,57.81497109920911,78.58894223441936
2018-08-12,137,LIMA,COMAS,7,0,32,2018,2018-08-12,2018-08-12,16.514485087365998,68.80199175609489,19.28408575820157,14.219509213002198,56.40888656001256,83.91148551600757
2018-08-19,138,LIMA,COMAS,7,0,33,2018,2018-08-19,2018-08-19,16.2435645419838,67.45843144349546,19.482733713801053,14.245331833802595,55.168711546409256,80.62581770240432
2018-08-26,139,LIMA,COMAS,7,0,34,2018,2018-08-26,2018-08-26,16.49735933331961,67.16429061329424,19.19023412560108,13.847139320001588,53.437494176811065,83.53370669120534
2018-09-02,140,LIMA,COMAS,7,0,35,2018,2018-09-02,2018-09-02,16.394407128958708,67.45122597369779,19.662384121401487,13.999355711001328,52.08746415760829,82.17212602720659
2018-09-09,141,LIMA,COMAS,7,0,36,2018,2018-09-09,2018-09-09,17.26585003223017,69.58873718383926,20.39593226860177,14.281633840801987,55.42466913280605,84.24512819680483
2018-09-16,142,LIMA,COMAS,7,0,37,2018,2018-09-16,2018-09-16,16.925177305737364,70.12826593296363,19.52588906720183,14.549726468601762,56.33996037681105,82.71593760240431
2018-09-23,143,LIMA,COMAS,7,0,38,2018,2018-09-23,2018-09-23,17.32975652389815,68.49603574083807,20.061681708201547,14.6134865894021,56.01925282401131,82.23759283840559
2018-09-30,144,LIMA,COMAS,7,0,39,2018,2018-09-30,2018-09-30,18.114509960073555,68.59406772390628,21.50109269220184,15.530121802602082,53.009721027206496,81.51611564960456
2018-10-07,145,LIMA,COMAS,7,0,40,2018,2018-10-07,2018-10-07,18.63595218722349,68.86194575639314,21.331604877602103,16.2762926096014,53.80721449680476,80.1132642856058
2018-10-14,146,LIMA,COMAS,7,0,41,2018,2018-10-14,2018-10-14,18.042365123852115,75.7863866886405,21.763049974802243,15.751307410202514,57.35091061281234,88.8007697104081
2018-10-21,147,LIMA,COMAS,7,0,42,2018,2018-10-21,2018-10-21,17.760126671109134,74.17787804542351,20.467311993601754,15.458995033201518,60.05755512641557,87.74319937440679
2018-10-28,148,LIMA,COMAS,7,0,43,2018,2018-10-28,2018-10-28,18.27015117317717,73.25753577884764,21.225078574802296,15.777100046401417,60.70038069120528,88.56372177681106
2018-11-04,149,LIMA,COMAS,7,0,44,2018,2018-11-04,2018-11-04,19.091632977766587,71.45925215953353,22.349995856002863,16.218868290200987,57.88519410800371,84.7043661576083
2018-11-11,150,LIMA,COMAS,7,0,45,2018,2018-11-11,2018-11-11,19.75161999666304,73.76216472388988,22.90049252900195,17.348626299802277,57.72788132239796,86.77126354080981
2018-11-18,151,LIMA,COMAS,7,0,46,2018,2018-11-18,2018-11-18,19.339743915137785,74.04188175405325,22.13665982480228,17.26999559780137,61.11172953521032,86.1778134520089
