,Fecha,temp_mean,Humedad,Semana,Anho
187,2018-08-05,17.485068878571425,70.07531855732142,31,2018
188,2018-08-12,17.745964675000003,69.89000175410716,32,2018
189,2018-08-19,17.39826470285714,68.88432281982143,33,2018
190,2018-08-26,17.6686774925,68.0588558873214,34,2018
191,2018-09-02,17.486855763928567,69.88599901857141,35,2018
192,2018-09-09,18.420108862142857,71.80926283607144,36,2018
193,2018-09-16,17.959691593392858,71.30987619803572,37,2018
194,2018-09-23,18.409680051607136,70.09985544339285,38,2018
195,2018-09-30,19.315571530892857,69.35752138625001,39,2018
196,2018-10-07,19.84836076214285,69.85124757339285,40,2018
197,2018-10-14,19.208347247678567,77.96213782142857,41,2018
198,2018-10-21,18.86851420821429,75.90407441089287,42,2018
199,2018-10-28,19.429111855,73.69312605553571,43,2018
200,2018-11-04,20.34592916875,71.79429987714288,44,2018
201,2018-11-11,20.977406181428574,74.37628791410714,45,2018
202,2018-11-18,20.460159409999992,75.99487859232143,46,2018
203,2018-11-25,20.99556902910714,74.38396317374998,47,2018
204,2018-12-02,20.96909247214285,77.89387099999998,48,2018
205,2018-12-09,21.336003881071434,79.94178904303571,49,2018
206,2018-12-16,22.24977008714286,77.0523251175,50,2018
207,2018-12-23,23.06632889357142,75.72284973571429,51,2018
208,2018-12-30,22.754576179821424,78.0927179214286,52,2018
209,2019-01-06,23.279515355357127,77.37495279053573,1,2019
210,2019-01-13,24.884273805714287,68.44363732285717,2,2019
211,2019-01-20,23.557959954642854,80.18757083964286,3,2019
212,2019-01-27,24.678507880000005,77.44541442999999,4,2019
213,2019-02-03,26.188793911607146,68.61776666571426,5,2019
214,2019-02-10,25.79277101107143,78.06497734267859,6,2019
215,2019-02-17,25.703626244107145,78.18665172160716,7,2019
216,2019-02-24,26.540251729464288,68.09675668749999,8,2019
217,2019-03-03,26.94832867285714,65.25015291999999,9,2019
218,2019-03-10,25.912125940000006,73.93971188428574,10,2019
219,2019-03-17,25.811431304285716,73.87925022267856,11,2019
220,2019-03-24,24.571218560535716,73.27344711232142,12,2019
221,2019-03-31,23.638817215,77.37445828857143,13,2019
222,2019-04-07,23.439886413571443,74.37753595767856,14,2019
223,2019-04-14,23.34759826946428,73.5028701775,15,2019
224,2019-04-21,22.670126208928565,77.81897406517858,16,2019
225,2019-04-28,23.20773094928571,74.69752638839286,17,2019
226,2019-05-05,21.875422604107147,76.09242670339286,18,2019
227,2019-05-12,21.199892357321428,78.84714373625,19,2019
228,2019-05-19,21.25600874875,75.3014048007143,20,2019
