,Distrito,Mean,Var,ACF1,Seasonality,Trend,Linearity,Curvature,Peak,Entropy,Lumpiness,Lshift,Vchange,Fspots,Cpoints_ts,Cpoints_JV,KlScore,ChangeIdx
91,"LORETO, UCAYALI, SARAYACU",1.735849584905659,7.628335652545643,0.681245526929548,0.4422814797073834,0.0059873695855695575,0.01950180846185123,-0.9211512449177304,0,0.09363560503399268,0.002303160365226338,0.2583333333333333,0.020756172839506155,32.0,6,6.0,,
92,"JUNIN, SATIPO, RIO TAMBO",2.094340169811321,13.48166378141712,0.7975010376562598,0.48915007149583223,0.0,0.014860645807314289,1.0350102491090811,0,0.0937768291333353,1.911803532417247e-05,0.13157894736842107,0.006401969836872883,31.0,5,1.0,,
93,"PASCO, OXAPAMPA, VILLA RICA",0.09434058490566044,0.23638287290854496,0.44902684613044946,-0.0404921573084792,0.950424593937299,0.00423952357866317,-0.008979540973980672,1,0.0842323108193639,0.003225118122237465,0.0,0.0,26.0,0,2.0,,
94,"HUANUCO, LEONCIO PRADO, HERMILIO VALDIZAN",0.05660471698113221,0.05339967960133486,0.6783333333333336,-0.0045283018867924435,0.0,0.007631142441594243,-0.6734655730494503,0,0.042522675202272556,0.006049382716049382,0.0,0.0,50.0,0,1.0,,
95,"PIURA, MORROPON, SALITRAL",0.24528388679245286,0.6756848714846289,0.6115443813444567,0.2240491480605205,0.0,0.006613656782714708,0.5621192649739227,0,0.0483384589746704,1.9753086419753087e-05,0.1,0.011111111111111112,46.0,0,1.0,,
96,"PIURA, SULLANA, SALITRAL",0.05660473584905674,0.09113552652193013,-0.012620186584469043,-0.014372051886792456,0.7153996228777512,0.0038155712207970484,-0.17061127850675262,0,0.0842323108193639,0.0,0.0,0.0,39.0,0,0.0,,
97,"ICA, ICA, LA TINGUIÑA",11.679245603773584,469.68956174937676,0.7248832060426269,0.5063191254225503,0.0,0.019439000705130636,-1.3673291157197291,0,0.09566802557661731,0.000981082579702639,0.17160493827160495,0.017429592372436457,38.0,3,4.0,,
98,"JUNIN, SATIPO, COVIRIALI",0.5849063584905667,1.2239222876470615,0.717987706097712,0.4794856597187922,0.0,0.0157710277126278,-1.135013979115311,0,0.06776785880522068,0.0010002962962962962,0.24,0.01822222222222221,37.0,0,5.0,,
99,"SAN MARTIN, RIOJA, YURACYACU",0.09434054716981145,0.12317533285873843,0.2666739122862123,0.2864543570727452,0.0,0.00635928536799518,-0.5432622289308983,0,0.04440975370695738,0.0006250000000000003,0.0,0.0,48.0,0,0.0,,
100,"TUMBES, ZARUMILLA, AGUAS VERDES",2.528302396226414,17.494479446066464,0.7363965362166336,0.5415292456285713,0.0,0.0162313188440255,-1.1134630807768748,0,0.09502693380328095,2.5162888424595227e-05,0.21904761904761905,0.009196271101033007,36.0,5,3.0,,
101,"AYACUCHO, LA MAR, ANCHIHUAY",1.2830197169811322,13.372728330366808,0.7458301699740116,0.25521826397413827,0.0,0.010810785125591338,0.9046887531319913,0,0.04652001563489282,0.0016539189844955633,0.01875,0.0017795138888888886,45.0,1,1.0,,
